"cafe","afternoon","wait"
1,0,4.99899260236057
1,1,2.21339437452688
1,0,4.18667295767766
1,1,3.5624399427455
1,0,3.99567794715879
1,1,2.89571764670578
1,0,3.78045816186329
1,1,2.38448367728668
1,0,3.86179817458527
1,1,2.58000038746721
2,0,2.74212231099099
2,1,1.35259070434471
2,0,2.52150946018207
2,1,0.96281023915262
2,0,1.95439770199858
2,1,0.796251112695298
2,0,2.38715042866441
2,1,1.20242312052661
2,0,1.97845256540676
2,1,1.37536530240102
3,0,3.99751952349684
3,1,3.04496155266553
3,0,4.27662571559016
3,1,2.86572711061637
3,0,4.18578195976519
3,1,2.44685320590158
3,0,3.51464636483218
3,1,2.46669520041685
3,0,3.92961920398048
3,1,2.47771328619668
4,0,3.24158662740485
4,1,2.03817431999507
4,0,3.51714951382569
4,1,2.16716533405271
4,0,3.55040093265054
4,1,2.07330717444106
4,0,3.83037798405617
4,1,2.21152648414049
4,0,3.43822213355337
4,1,1.86953887784077
5,0,1.95017862585644
5,1,0.244257490772016
5,0,2.18873509195762
5,1,1.10336730108534
5,0,2.03881278101281
5,1,0.760253934926867
5,0,2.89458686654447
5,1,0.87869273135533
5,0,1.66308426502239
5,1,0.85448870921442
6,0,4.59739623479443
6,1,2.45871319680283
6,0,4.41288960066223
6,1,3.44028407506603
6,0,4.62934550935734
6,1,3.18172282639978
6,0,3.96108076066389
6,1,2.71982415760773
6,0,4.04309487087987
6,1,2.96026895761306
7,0,2.79677575001216
7,1,2.73565874153946
7,0,4.13236651680099
7,1,2.27224473250761
7,0,3.76554641288155
7,1,2.61490880800527
7,0,3.68003654353629
7,1,1.1851767761337
7,0,3.41771401101229
7,1,2.80807891317404
8,0,3.47014514976723
8,1,3.04250793600684
8,0,5.24666863969953
8,1,2.30114249206313
8,0,3.27123779307457
8,1,2.63078374847611
8,0,3.16909970941568
8,1,2.46317826789915
8,0,3.97281241192491
8,1,2.13030233914188
9,0,4.44969529019856
9,1,3.39952181167911
9,0,3.20532277725647
9,1,2.13547391609055
9,0,4.39389227281815
9,1,3.10214117458746
9,0,3.66425032974809
9,1,3.57864727292543
9,0,3.18106182019237
9,1,2.23639273298647
10,0,4.14188821418495
10,1,1.79794410841757
10,0,2.84713839464753
10,1,2.7351887143595
10,0,3.83410016599278
10,1,3.01504808989445
10,0,3.61165346044253
10,1,2.2503628229264
10,0,3.79198495640291
10,1,2.9367894175398
11,0,1.84487798605933
11,1,1.6100472334053
11,0,3.33299333317665
11,1,2.10343316630244
11,0,2.09035116513502
11,1,1.41552226254083
11,0,2.29285250707931
11,1,1.50981912290438
11,0,1.53526804448609
11,1,1.42842450083054
12,0,4.63254979746297
12,1,2.87617892095571
12,0,3.90081709824365
12,1,2.9044614740963
12,0,3.852237910822
12,1,3.11942294903382
12,0,3.99045795125291
12,1,3.09847666644412
12,0,3.93784633317592
12,1,2.59335093352417
13,0,2.9896105937642
13,1,3.31086290938648
13,0,4.3469988406284
13,1,3.00137564614336
13,0,4.04482422550794
13,1,1.85804518062918
13,0,4.28018791997152
13,1,2.12838859857569
13,0,4.29045456782192
13,1,1.94489635667081
14,0,2.78687427345271
14,1,2.13818948753316
14,0,2.88965470845613
14,1,1.19005444369932
14,0,3.48919989206426
14,1,2.23232250296446
14,0,4.29309216375373
14,1,1.53156976246687
14,0,3.96509129739698
14,1,1.7688086005218
15,0,5.47290969684181
15,1,2.16030137380582
15,0,4.75711596610324
15,1,2.98937933388236
15,0,3.74984962137186
15,1,2.36347730516252
15,0,4.28738701182047
15,1,2.31017554392255
15,0,4.75238037079078
15,1,1.91801882139421
16,0,3.85490225001506
16,1,2.35355277545715
16,0,3.26366140400228
16,1,2.39571842060112
16,0,3.42727271105439
16,1,2.83996898805625
16,0,3.92924249308656
16,1,2.21153518270637
16,0,3.19570154023354
16,1,2.53363880945326
17,0,4.15987363846287
17,1,3.14988246034084
17,0,4.71129696165855
17,1,2.90986697066539
17,0,4.35466186039907
17,1,3.50282369752954
17,0,4.5223043090299
17,1,3.76571823355685
17,0,4.03294187539122
17,1,3.66762125290986
18,0,6.52226906232139
18,1,4.99620737254414
18,0,6.17687569128409
18,1,4.44551250320774
18,0,6.32486011287684
18,1,4.46774603279271
18,0,5.84168057111762
18,1,5.39103168002565
18,0,6.15656948543695
18,1,4.98336088101415
19,0,3.58272215034761
19,1,3.10362199346032
19,0,4.48990420558158
19,1,2.93487822152942
19,0,2.68818848614525
19,1,3.05948562018003
19,0,2.57896730271135
19,1,2.88247582484128
19,0,3.03525455033956
19,1,1.37124210443104
20,0,3.58390712573758
20,1,3.20669716663536
20,0,3.49587833727659
20,1,2.40462553082944
20,0,3.50967319749928
20,1,3.6666638975704
20,0,4.4726691489961
20,1,2.3448401673584
20,0,3.62211227221526
20,1,3.30269218844049
